ISO	DefArt	Case	Ergativity	Topic	OAgreement	FlexSubj	SR	Isolating	VO
CHIP	0	0	0	1	1	0	0	0	0
GIN	0	1	1	0	0	0	0	0	0
SHV	1	0	0	0	1	0	0	1	1
NBQ	0	0	1	0	1	1	1	0	0
MLA	1	0	0	1	1	0	1	1	1
TAE	1	1	0	1	0	1	1	0	0
SHP	0	1	1	1	0	0	1	0	0
ADN	1	0	0	1	1	0	1	1	0
xin	1	0	0	0	0	0	0	0	1
AOI	0	0	1	0	1	1	0	0	0
YUX	0	1	0	0	0	1	1	0	0
HCH	0	1	0	0	1	0	1	0	0
OSA	0	0	1	0	1	0	0	0	0
ybe	0	1	0	0	0	1	0	0	0
YUR	1	0	0	0	1	1	0	0	0
ZAG	0	0	0	0	1	1	0	0	0
COG	0	0	0	0	0	0	0	1	1
PBB	0	1	0	1	0	0	1	0	0
PAC	0	0	0	0	0	0	0	1	0
MCR	1	0	0	1	1	1	1	0	0
YEV	0	0	0	0	1	0	0	0	0
KHG	0	1	1	1	0	0	0	1	0
HUC	0	0	0	0	0	0	0	1	1
YAL	1	0	0	0	0	0	0	1	0
SAD	1	0	0	1	1	1	0	0	0
EUS	0	1	1	0	1	0	0	0	0
BEN	0	1	0	0	0	1	0	0	0
EMA	1	0	0	0	0	0	0	1	0
SAE	0	1	0	0	1	0	0	0	0
ARN	1	0	0	0	1	0	0	0	1
KSP	1	0	0	0	1	0	1	1	1
DJM	1	0	0	1	0	1	1	0	0
SWE	1	0	0	0	0	0	0	0	1
KHR	0	1	0	0	0	1	0	0	0
amp	0	0	1	0	1	0	1	0	0
wro	0	0	1	0	1	1	0	0	0
hai	1	0	0	1	0	0	1	0	0
hur	0	0	0	0	1	0	0	0	1
tam	0	1	0	1	0	0	0	0	0
kgr	0	0	0	1	0	0	0	1	1
see	0	0	0	1	1	1	0	0	0
cof	0	1	1	0	0	0	1	0	0
shb	0	0	1	0	0	0	0	0	0
cav	0	1	1	0	0	1	1	0	0
uru	0	0	0	1	1	0	1	0	0
wrz	0	1	1	0	1	1	0	0	0
trv	0	1	0	0	0	0	0	0	1
gde	0	1	0	1	0	0	0	0	1
jar	0	0	1	0	0	0	0	1	0
esi	0	1	1	1	1	0	1	0	0
niy	0	0	0	0	0	0	0	1	0
sei	1	0	1	0	1	0	1	0	0
wmb	0	1	1	0	1	1	1	0	0
tfr	0	0	0	1	0	0	1	0	0
roo	0	0	0	1	0	0	0	0	0
uwa	0	1	1	0	1	1	0	0	0
mya	0	1	0	1	0	0	1	1	0
dus	0	1	1	0	1	0	0	0	0
abs	0	0	0	1	0	0	0	1	1
yuf	0	1	0	0	1	0	1	0	0
svs	1	1	0	1	1	0	1	0	0
doc	0	0	0	1	0	0	0	1	0
plo	0	0	1	0	1	1	0	0	1
myf	0	1	0	0	0	0	1	0	0
kbv	0	1	0	1	1	1	1	0	0
jaa	0	0	1	0	1	0	0	0	0
crd	1	0	1	1	1	1	0	0	1
nck	0	0	0	1	1	1	1	0	0
kpr	0	0	0	1	0	1	1	0	0
kca	0	0	0	0	1	0	0	0	0
sks	1	0	0	1	1	0	1	0	0
ikx	0	1	1	0	0	0	0	0	1
itz	1	0	1	1	1	1	1	0	1
kbd	1	1	1	0	1	1	0	0	0
eko	1	0	0	1	1	0	0	0	1
snf	1	0	0	0	0	0	0	0	1
wao	0	1	0	0	0	0	0	0	0
bsn	0	1	0	0	0	0	1	0	0
thv	1	0	0	0	1	0	0	0	1
too	0	0	0	0	1	1	0	0	1
bdr	1	0	0	1	0	1	0	1	1
boi	0	0	0	1	1	1	0	0	1
skc	0	1	0	0	1	0	1	0	0
btx	0	0	1	1	1	0	0	0	1
nha	0	1	1	0	1	1	0	0	0
cli	1	0	0	0	1	0	0	0	1
wyb	0	1	1	1	0	1	0	0	0
mpt	0	0	1	1	1	0	1	0	0
nam	1	1	1	1	1	0	0	0	0
kub	1	0	0	1	0	0	0	1	1
nir	0	0	0	0	1	0	0	0	0
kbc	0	0	0	0	1	1	0	0	0
lmd	0	0	0	0	1	0	0	0	1
gug	0	0	1	0	1	0	0	0	1
fqs	0	1	0	1	1	0	0	0	0
bid	1	0	0	1	1	0	1	0	1
gmv	1	1	0	0	0	1	1	0	0
mjg	0	1	0	1	0	0	0	0	0
hbs	0	1	0	0	0	1	0	0	0
sur	1	0	0	0	0	0	0	0	1
